Variable,VIF
has_workflows,2.834566342283645
C,2.6580004277682776
discussions_enabled,2.5284890214824447
has_contributing,2.5050980542953223
has_coc,2.4415417101839227
has_issue_template,1.8543774990803252
has_toxicity,1.8188260243313024
A,1.681520515800588
convo_broken_link_ratio_365,1.5994458437011534
has_pr_template,1.5220290128167766
readme_words_log,1.4963512086255917
has_codeowners,1.4259346510772686
log_mta_ratio,1.4200931194625432
log_reply_time,1.416596625244364
R_convo_rule_365,1.4011069110494883
links_per_comment_365,1.2833033813991381
docs_md_count,1.262863974366427
R,1.204071819792747
